127.0.0.1 - - [24/Nov/2021:09:32:45 +0900] "GET / HTTP/1.1" 404 807
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:26 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:27 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:27 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:28 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:28 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:29 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:29 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:30 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:30 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:31 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:31 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:32 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:32 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:33 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:33 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:34 +0900] "GET /semi/main.mc HTTP/1.1" 200 2914
192.168.0.158 - - [24/Nov/2021:09:37:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.158 - - [24/Nov/2021:09:37:34 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:34 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:35 +0900] "GET /semi/uu.mc HTTP/1.1" 200 239
192.168.0.158 - - [24/Nov/2021:09:37:35 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:35 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:36 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:36 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:37 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:37 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:38 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:38 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:39 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:39 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:40 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:40 +0900] "GET /semi/led.mc HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:40 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:41 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:41 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:42 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:42 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:43 +0900] "GET /semi/led.mc?LED=on HTTP/1.1" 200 1243
192.168.0.158 - - [24/Nov/2021:09:37:43 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:43 +0900] "POST /semi/led.mc?temp= HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:43 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:44 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:44 +0900] "GET /semi/led.mc?LED=on HTTP/1.1" 200 1243
192.168.0.158 - - [24/Nov/2021:09:37:44 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:44 +0900] "POST /semi/led.mc?temp= HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:45 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
192.168.0.158 - - [24/Nov/2021:09:37:45 +0900] "POST /semi/led.mc?temp=0 HTTP/1.1" 200 1241
